tconst,language,title type,primary title,original title,isAdult,start year,end year,runtime minutes,genres,averageRating,numVotes
tt0128377,English,movie,Nymphs (Anonymous),Nymphs (Anonymous),0,1968,\N,87,Comedy,5.1,105
tt0128380,English,movie,Once a Thief,Once a Thief,0,1935,\N,67,Crime,5.7,55
tt0128401,English,movie,Perfect World,Perfect World,0,1990,\N,76,Drama,6.2,55
tt0128409,English,movie,Pleasure in Paradise,Pleasure in Paradise,0,1991,\N,80,Drama,3.8,47
tt0128422,English,movie,Private Relations,Private Relations,0,1968,\N,75,Comedy,4.8,11
tt0128429,English,movie,The Race to Save 100 Years,The Race to Save 100 Years,0,1997,\N,57,Documentary,7.8,72
tt0128435,English,movie,Redneck Revenge,Redneck Revenge,0,1996,\N,90,"Action,Drama",3.3,18
tt0128442,English,movie,Rounders,Rounders,0,1998,\N,121,"Crime,Drama",7.3,154322
tt0128445,English,movie,Rushmore,Rushmore,0,1998,\N,93,"Comedy,Drama,Romance",7.6,188899
tt0128451,English,movie,Satan's Children,Satan's Children,0,1975,\N,87,Horror,4.5,543
tt0128454,English,movie,Save the Children,Save the Children,0,1973,\N,123,"Documentary,Music",8.5,52
tt0128457,English,movie,Scary Texas Movie,Scary Texas Movie,0,1997,\N,84,Horror,4.6,25
tt0128473,English,movie,Shadow Zone: My Teacher Ate My Homework,Shadow Zone: My Teacher Ate My Homework,0,1997,\N,92,"Comedy,Horror",5.4,270
tt0128483,English,movie,She Should Have Stayed in Bed,She Should Have Stayed in Bed,0,1963,\N,65,Comedy,4.4,33
tt0128484,English,movie,The Cut-Throats,The Cut-Throats,0,1971,\N,75,"Adventure,Crime,Drama",4.2,213
tt0128497,English,movie,Shucking the Curve,Shucking the Curve,0,1998,\N,90,"Comedy,Drama",7.7,50
tt0128531,English,movie,Slaves of Love,Slaves of Love,0,1969,\N,76,"Adventure,Fantasy",4.7,43
tt0128542,English,movie,Sluchaynyy vals,Sluchaynyy vals,0,1990,\N,91,Romance,5.7,47
tt0128550,English,movie,The Snow Bunnies,The Snow Bunnies,0,1972,\N,86,Comedy,5.7,84
tt0128562,English,movie,Night Soldier,Hayal Halayla,0,1984,\N,86,Drama,5.1,30
tt0128584,English,movie,Sparkle's Tavern,Sparkle's Tavern,0,1976,\N,120,"Comedy,Drama,Fantasy",7.7,41
tt0128591,English,movie,Operation Splitsville,Operation Splitsville,0,1998,\N,91,Comedy,4.5,393
tt0128620,English,movie,Striking Point,Striking Point,0,1995,\N,93,"Action,Crime",5.1,41
tt0128632,English,movie,Student Affairs,Student Affairs,0,1987,\N,92,Comedy,5.1,65
tt0128640,English,movie,Suburbia Confidential,Suburbia Confidential,0,1966,\N,82,Drama,4.7,68
tt0128648,English,movie,Summer of the Monkeys,Summer of the Monkeys,0,1998,\N,101,"Drama,Family",6.1,590
